,start_station_name,value
1583,W 21 St & 6 Ave,52629
8,1 Ave & E 68 St,48603
494,Broadway & W 58 St,45270
1713,West St & Chambers St,44562
286,6 Ave & W 33 St,41279
1507,University Pl & E 14 St,39656
787,E 33 St & 1 Ave,38674
462,Broadway & E 21 St,38310
460,Broadway & E 14 St,38197
484,Broadway & W 25 St,37979
1599,W 31 St & 7 Ave,36361
963,Grand Army Plaza & Central Park S,34800
328,8 Ave & W 33 St,34544
795,E 40 St & Park Ave,33848
589,Cleveland Pl & Spring St,33825
